# StartTime = 08/11/2026 01:11:43.6990 PM
Time (sec), Short term fuel % trim - Bank 1 (%), Long term fuel % trim - Bank 1 (%), Engine RPM (RPM), Ignition timing advance for #1 cylinder (deg), O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1), Absolute load value (%), Knocking Retard (deg)
57.778,1.5625,4.6875,1006.75,9,0.9524235,28.235294,0
57.944,5.46875,4.6875,1124.75,-2,0.997289,27.843138,0
58.065,6.25,4.6875,1040.25,-6.5,0.998265,21.960785,0
58.232,-4.6875,14.0625,1016.75,2.5,0.995154,18.431372,0
58.403,-5.46875,14.0625,990,10.5,0.98576,15.294118,0
58.618,1.5625,4.6875,969.5,25,0.971974,16.078432,0
58.806,3.90625,4.6875,1180.5,5,1.000522,23.529411,0
58.918,3.90625,4.6875,1180.5,5,1.000522,23.529411,0
59.094,-4.6875,14.0625,1041.75,1.5,1.016382,19.607843,0
59.248,-4.6875,14.0625,1015.25,8,1.008818,16.862745,0
59.413,-4.6875,14.0625,1001.75,10.5,1.0029925,15.294118,0
59.615,2.34375,4.6875,1040.75,23,0.9846925,18.431372,0
59.830,1.5625,4.6875,1243.25,-3,0.9927445,27.058823,0
60.040,-6.25,14.0625,1105.75,0.5,0.990823,19.607843,0
60.260,-6.25,14.0625,1071.75,5,0.9810935,16.470589,0
60.388,0.78125,4.6875,1080.75,36.5,0.97295,15.686275,0
60.548,1.5625,4.6875,1195.5,-9.5,1.002291,24.313726,0
60.672,1.5625,4.6875,1195.5,-9.5,1.002291,24.313726,0
60.802,-6.25,14.0625,1091.5,0.5,1.0017725,19.607843,0
60.978,-7.8125,14.0625,1056.25,5.5,0.994971,17.254902,0
61.166,-8.59375,14.0625,1035.25,10,0.9859125,15.294118,0
61.389,0,4.6875,1066.5,36.5,0.9776165,17.647058,0
61.538,0,4.6875,1216.75,2.5,1.0081165,26.666666,0
61.683,-7.03125,14.0625,1071.75,-2,1.0273315,21.17647,0
61.844,-7.03125,14.0625,1053.5,4,1.0191575,18.431372,0
61.956,-7.03125,14.0625,1023.25,10.5,0.9991495,15.686275,0
62.144,0,4.6875,1076,37.5,0.9704185,26.666666,0
62.266,0,4.6875,1076,37.5,0.9704185,26.666666,0
62.427,0,4.6875,1213.75,2.5,0.9862785,26.666666,0
62.538,-7.03125,14.0625,1090.25,-3,1.002718,22.352942,0
62.712,-6.25,14.0625,1060,3,1.017785,18.82353,0
62.863,-6.25,14.0625,1032,7.5,1.0115325,15.686275,0
62.993,-7.8125,4.6875,1016.25,10,1.000644,15.294118,0
63.167,0.78125,4.6875,1059.25,25,0.986919,20.784313,0
63.311,0,4.6875,1204.25,15,0.9895725,25.09804,0
63.476,1.5625,4.6875,1147,-6.5,1.001498,22.745098,0
63.662,-6.25,14.0625,1034,9,1.010648,15.686275,0
63.791,-6.25,14.0625,1034,9,1.010648,15.686275,0
63.965,1.5625,4.6875,1036.75,39.5,1.003694,15.686275,0
64.092,1.5625,4.6875,1235.5,13.5,0.980148,40.39216,0
64.233,0.78125,4.6875,1426,-9,0.9356485,40.784313,0
64.549,-3.125,4.6875,1403.25,-7,0.9474215,32.156864,0
64.771,-2.34375,4.6875,1305.75,-8,0.9777385,22.352942,0
64.969,-9.375,14.0625,1165.5,8,0.991677,15.294118,0
65.145,-8.59375,14.0625,1029.25,7,1.0712515,16.078432,0
65.266,7.8125,4.6875,1035.75,43,1.0907105,16.862745,0
65.478,7.03125,3.90625,1128,17.5,1.1040086,30.980392,0
65.650,7.03125,3.90625,2091.5,10.5,0.969595,82.35294,0
65.766,3.90625,3.90625,2654.25,-10,0.985333,80.78432,0
65.879,0,4.6875,2516.5,25.5,1.9988174,38.82353,0
66.073,0,4.6875,2287.25,42,1.9988174,19.215687,0
66.180,0,14.0625,2020.25,39,1.9988174,14.117647,0
66.357,0,14.0625,1828.5,40.5,1.9988174,15.294118,0
66.480,0,14.0625,1623.25,42,1.9988174,13.333333,0
66.619,0,14.0625,1431,42,1.9988174,14.90196,0
66.843,0,14.0625,1228.75,46.5,1.9988174,15.294118,0
66.998,0,14.0625,1166.75,5,1.9988174,14.509804,0
67.165,0,14.0625,1166.75,5,1.9988174,14.509804,0
67.325,0,14.0625,1103.75,5,1.9988174,14.509804,0
67.493,0,14.0625,1018.75,2,1.574166,15.686275,0
67.613,0,14.0625,958.75,3,1.218536,15.294118,0
67.768,0,14.0625,910.5,0,1.062986,16.078432,0
67.887,0,14.0625,831.25,3,1.010282,15.686275,0
68.004,0,14.0625,777,9.5,0.9835335,15.294118,0
68.162,0,14.0625,761.75,9.5,0.948916,15.294118,0
68.303,0,14.0625,742.25,8.5,0.925736,16.078432,0
68.599,-6.25,14.0625,739.5,9.5,0.864431,17.254902,0
68.753,-6.25,14.0625,739.5,9.5,0.864431,17.254902,0
68.878,-7.03125,14.0625,738.25,7,0.848327,17.647058,0
69.043,-7.8125,14.0625,737.75,7,0.8425015,17.254902,0
69.144,-7.8125,14.0625,738.5,7.5,0.84912,17.647058,0
69.276,-7.03125,14.0625,733.5,7,0.8567755,18.039215,0
69.414,-6.25,14.0625,735.5,7,0.8617775,18.039215,0
69.593,-5.46875,14.0625,744.5,7,0.873764,18.039215,0
70.213,-5.46875,14.0625,744.25,6.5,0.8910575,17.647058,0
70.334,-3.90625,14.0625,753.5,5,0.9174095,18.039215,0
70.859,-3.125,14.0625,750.5,6.5,0.9254005,17.647058,0
70.992,-3.125,14.0625,762.25,6,0.9258275,17.647058,0
71.190,-1.5625,14.0625,768.75,6.5,0.9330255,18.039215,0
71.303,-3.125,14.0625,751.5,8,0.9341235,17.647058,0
71.494,-6.25,14.0625,753.25,11.5,0.933605,17.254902,0
71.652,-6.25,14.0625,739.5,10.5,0.938241,17.647058,0
71.778,-6.25,14.0625,740.5,12,0.9460185,18.039215,0
71.905,-5.46875,14.0625,745.75,10,0.9620615,18.039215,0
72.073,-4.6875,14.0625,740,10,0.97234,18.431372,0
72.210,-3.90625,14.0625,746.25,8,0.9883525,18.431372,0
72.399,-3.125,14.0625,748.75,7,0.9978685,18.82353,0
72.577,-3.125,14.0625,754,8,1.0200725,18.431372,0
72.709,-2.34375,14.0625,755.25,7,1.0242815,18.82353,0
72.879,-3.125,14.0625,762.25,6.5,1.039196,18.82353,0
73.013,2.34375,14.0625,765.25,6,1.0278805,18.82353,0
73.183,-2.34375,14.0625,757.5,6.5,1.026142,18.82353,0
73.311,-1.5625,14.0625,758,7.5,1.0192795,18.431372,0
73.477,-3.125,14.0625,767,4.5,1.013393,19.215687,0
73.630,-2.34375,14.0625,769,7.5,1.005585,18.431372,0
73.798,-2.34375,14.0625,766.75,6.5,1.005219,18.431372,0
73.972,-2.34375,14.0625,763.75,5.5,1.007476,18.82353,0
74.166,-2.34375,14.0625,763.75,5.5,1.007476,18.82353,0
74.278,-2.34375,14.0625,758.75,9,1.0047615,18.039215,0
74.417,-3.125,14.0625,757.25,6,1.0053715,18.431372,0
74.517,-1.5625,14.0625,757.25,8,1.005768,18.039215,0
74.702,-1.5625,14.0625,754,8,1.0067135,18.431372,0
74.812,-2.34375,14.0625,757,7.5,1.001803,18.039215,0
74.996,-2.34375,14.0625,757.25,7.5,1.000827,18.431372,0
75.199,-3.125,14.0625,761.25,7.5,0.998082,18.431372,0
75.659,-2.34375,14.0625,754.5,8,0.99857,18.431372,0
75.805,-1.5625,14.0625,755,8,1.004243,18.039215,0
75.975,-1.5625,14.0625,743.5,7,1.0076284,18.431372,0
76.201,-0.78125,14.0625,755,9,1.004426,18.431372,0
76.320,-2.34375,14.0625,762.75,6,1.0108615,18.82353,0
76.474,-1.5625,14.0625,758,6.5,1.0121425,18.431372,0
76.624,-0.78125,14.0625,763.25,6.5,1.0076284,18.431372,0
76.781,-0.78125,14.0625,754.75,6,1.0134234,18.431372,0
76.897,-0.78125,14.0625,757.5,7,1.006378,18.431372,0
77.048,-0.78125,14.0625,756.25,7,1.004121,18.82353,0
77.143,-1.5625,14.0625,759.5,6.5,1.006134,18.431372,0
77.284,-0.78125,14.0625,748.25,9,1.001925,18.039215,0
77.495,-0.78125,14.0625,748.25,9,1.001925,18.039215,0
77.653,-1.5625,14.0625,755.5,8,1.0018336,18.039215,0
77.823,-1.5625,14.0625,755,7,0.9993935,18.431372,0
77.964,-2.34375,14.0625,759.75,7,1.000339,18.431372,0
78.107,-1.5625,14.0625,752.25,7.5,0.9987835,18.039215,0
78.254,-1.5625,14.0625,756.5,7,1.000888,18.039215,0
78.365,-1.5625,14.0625,754,8.5,1.0016505,18.039215,0
78.497,-1.5625,14.0625,755.5,6.5,0.998875,18.039215,0
78.645,-1.5625,14.0625,758,6.5,0.998753,17.647058,0
78.796,-1.5625,14.0625,761.25,9.5,0.9969535,17.647058,0
78.966,-1.5625,14.0625,750.5,7,0.994666,17.254902,0
79.085,-1.5625,14.0625,761.75,13,0.9925615,17.254902,0
79.245,-1.5625,14.0625,754.75,8.5,0.9917685,17.647058,0
79.405,-2.34375,14.0625,762.5,12,0.992897,17.254902,0
79.565,-2.34375,14.0625,757.5,7.5,0.9889015,17.647058,0
79.695,-2.34375,14.0625,758.5,10.5,0.991128,17.254902,0
79.854,-2.34375,14.0625,757.75,9,0.9926225,17.647058,0
79.964,-2.34375,14.0625,758.5,9,0.994788,18.039215,0
80.202,-2.34375,14.0625,763,7.5,0.995215,18.039215,0
80.376,-2.34375,14.0625,770.25,7,1.0000035,18.039215,0
80.503,-2.34375,14.0625,770.25,7,1.0000035,18.039215,0
80.652,-2.34375,14.0625,760.75,9,0.999729,17.647058,0
80.759,-1.5625,14.0625,762.5,8,1.00162,18.039215,0
80.900,-1.5625,14.0625,753.25,9.5,1.004548,17.647058,0
81.044,-1.5625,14.0625,758.5,9.5,1.0012234,18.039215,0
81.166,7.8125,4.6875,781.25,8.5,1.0051275,18.431372,0
81.345,7.8125,14.0625,780.75,8.5,1.0098855,18.82353,0
81.478,-0.78125,14.0625,789.75,9,1.0125695,19.607843,0
81.616,-0.78125,14.0625,775.25,4.5,1.011014,18.039215,0
81.752,-0.78125,4.6875,765.75,6.5,1.0096415,17.647058,0
81.919,-0.78125,4.6875,765.75,6.5,1.00955,17.647058,0
82.056,7.8125,4.6875,794.5,16.5,1.0101295,17.647058,0
82.252,8.59375,4.6875,800.75,12.5,1.0053715,19.215687,0
82.370,7.8125,4.6875,815.25,11.5,0.9956725,20.392157,0
82.588,7.8125,4.6875,818.75,11,0.9935985,21.17647,0
83.092,8.59375,4.6875,825,16.5,0.9986005,20,0
83.235,8.59375,4.6875,829,21,0.994971,18.039215,0
83.403,7.8125,4.6875,834.75,19.5,0.989908,17.254902,0
83.670,7.03125,4.6875,835.25,26,0.990152,16.470589,0
83.795,7.8125,4.6875,834,26.5,0.993019,15.686275,0
84.015,7.8125,4.6875,834,26.5,0.993019,15.686275,0
84.159,7.8125,4.6875,837,27,0.9962825,15.686275,0
84.314,8.59375,4.6875,833.25,27.5,1.002779,15.294118,0
84.452,8.59375,4.6875,831,27.5,1.002962,15.294118,0
